iter	Passed	Remaining
558	5022	3962
559	5031	3953
560	5040	3944
561	5050	3935
562	5058	3926
563	5067	3917
564	5076	3908
565	5084	3899
566	5093	3889
567	5102	3880
568	5110	3871
569	5119	3862
570	5128	3853
571	5138	3844
572	5147	3835
573	5156	3826
574	5165	3817
575	5174	3809
576	5183	3800
577	5192	3791
578	5201	3781
579	5209	3772
580	5219	3764
581	5228	3755
582	5237	3745
583	5245	3736
584	5254	3727
585	5263	3718
586	5271	3708
587	5280	3699
588	5289	3690
589	5298	3681
590	5306	3672
591	5315	3663
592	5324	3654
593	5333	3645
594	5342	3636
595	5351	3627
596	5360	3618
597	5369	3609
598	5378	3600
599	5386	3591
600	5395	3582
601	5403	3572
602	5412	3563
603	5420	3553
604	5430	3545
605	5439	3536
606	5448	3527
607	5456	3518
608	5465	3508
609	5473	3499
610	5481	3489
611	5490	3480
612	5499	3471
613	5509	3463
614	5517	3454
615	5527	3445
616	5536	3436
617	5545	3427
618	5553	3418
619	5562	3409
620	5572	3400
621	5580	3391
622	5589	3382
623	5598	3373
624	5607	3364
625	5616	3355
626	5624	3346
627	5633	3336
628	5641	3327
629	5651	3319
630	5659	3309
631	5667	3300
632	5676	3291
633	5685	3282
634	5693	3272
635	5704	3264
636	5713	3255
637	5722	3246
638	5730	3237
639	5739	3228
640	5747	3218
641	5756	3209
642	5765	3200
643	5773	3191
644	5782	3182
645	5791	3173
646	5801	3165
647	5809	3155
648	5819	3147
649	5827	3137
650	5836	3129
651	5845	3120
652	5854	3110
653	5863	3101
654	5871	3092
655	5880	3083
656	5888	3074
657	5898	3065
658	5907	3056
659	5916	3048
660	5926	3039
661	5934	3030
662	5943	3021
663	5952	3012
664	5961	3003
665	5970	2994
666	5979	2985
667	5987	2975
668	5997	2967
669	6005	2957
670	6015	2949
671	6024	2940
672	6033	2931
673	6042	2922
674	6050	2913
675	6059	2904
676	6068	2895
677	6078	2886
678	6086	2877
679	6096	2868
680	6105	2860
681	6114	2851
682	6123	2842
683	6132	2832
684	6140	2823
685	6148	2814
686	6157	2805
687	6165	2796
688	6174	2787
689	6183	2778
690	6192	2769
691	6202	2760
692	6212	2752
693	6221	2743
694	6230	2734
695	6239	2725
696	6248	2716
697	6257	2707
698	6265	2698
699	6275	2689
700	6283	2680
701	6292	2671
702	6301	2662
703	6309	2653
704	6318	2643
705	6327	2634
706	6336	2625
707	6344	2616
708	6361	2611
709	6385	2608
710	6398	2600
711	6412	2593
712	6422	2585
713	6435	2577
714	6448	2570
715	6459	2562
716	6469	2553
717	6477	2544
718	6486	2535
719	6495	2526
720	6504	2516
721	6513	2507
722	6521	2498
723	6531	2489
724	6539	2480
725	6548	2471
726	6556	2462
727	6565	2453
728	6573	2443
729	6583	2434
730	6591	2425
731	6599	2416
732	6609	2407
733	6617	2398
734	6627	2389
735	6636	2380
736	6644	2371
737	6654	2362
738	6663	2353
739	6671	2344
740	6681	2335
741	6690	2326
742	6699	2317
743	6707	2307
744	6715	2298
745	6724	2289
746	6733	2280
747	6742	2271
748	6751	2262
749	6759	2253
750	6767	2243
751	6776	2234
752	6784	2225
753	6793	2216
754	6802	2207
755	6811	2198
756	6820	2189
757	6829	2180
758	6837	2171
759	6846	2162
760	6855	2153
761	6864	2143
762	6873	2134
763	6881	2125
764	6890	2116
765	6898	2107
766	6907	2098
767	6915	2089
768	6924	2080
769	6932	2070
770	6942	2061
771	6951	2052
772	6959	2043
773	6967	2034
774	6975	2025
775	6984	2016
776	6992	2006
777	7001	1997
778	7009	1988
779	7018	1979
780	7027	1970
781	7036	1961
782	7048	1953
783	7065	1946
784	7080	1939
785	7095	1931
786	7108	1923
787	7119	1915
788	7133	1907
789	7142	1898
790	7150	1889
791	7159	1880
792	7168	1871
793	7176	1861
794	7185	1852
795	7193	1843
796	7201	1834
797	7210	1825
798	7219	1816
799	7227	1806
800	7236	1797
801	7245	1788
802	7253	1779
803	7263	1770
804	7272	1761
805	7281	1752
806	7289	1743
807	7298	1734
808	7306	1725
809	7314	1715
810	7323	1706
811	7331	1697
812	7340	1688
813	7348	1679
814	7357	1670
815	7366	1660
816	7374	1651
817	7383	1642
818	7393	1633
819	7402	1624
820	7411	1615
821	7419	1606
822	7428	1597
823	7437	1588
824	7446	1579
825	7455	1570
826	7464	1561
827	7472	1552
828	7480	1543
829	7490	1534
830	7499	1525
831	7508	1516
832	7516	1506
833	7525	1497
834	7534	1488
835	7543	1479
836	7553	1470
837	7561	1461
838	7569	1452
839	7578	1443
840	7586	1434
841	7595	1425
842	7604	1416
843	7612	1406
844	7621	1398
845	7630	1388
846	7639	1379
847	7648	1370
848	7656	1361
849	7666	1352
850	7674	1343
851	7683	1334
852	7691	1325
853	7700	1316
854	7708	1307
855	7717	1298
856	7725	1289
857	7735	1280
858	7743	1271
859	7752	1262
860	7761	1253
861	7770	1243
862	7778	1234
863	7786	1225
864	7796	1216
865	7804	1207
866	7813	1198
867	7821	1189
868	7829	1180
869	7838	1171
870	7847	1162
871	7856	1153
872	7865	1144
873	7873	1135
874	7881	1125
875	7890	1116
876	7899	1107
877	7907	1098
878	7916	1089
879	7925	1080
880	7933	1071
881	7942	1062
882	7951	1053
883	7959	1044
884	7968	1035
885	7977	1026
886	7985	1017
887	7994	1008
888	8002	999
889	8012	990
890	8021	981
891	8030	972
892	8039	963
893	8047	954
894	8056	945
895	8065	936
896	8074	927
897	8082	918
898	8091	909
899	8099	899
900	8108	890
901	8117	881
902	8126	872
903	8134	863
904	8143	854
905	8152	845
906	8161	836
907	8170	827
908	8178	818
909	8188	809
910	8196	800
911	8205	791
912	8213	782
913	8222	773
914	8230	764
915	8240	755
916	8249	746
917	8259	737
918	8267	728
919	8275	719
920	8284	710
921	8292	701
922	8301	692
923	8309	683
924	8318	674
925	8326	665
926	8335	656
927	8343	647
928	8352	638
929	8360	629
930	8370	620
931	8379	611
932	8388	602
933	8397	593
934	8405	584
935	8414	575
936	8422	566
937	8431	557
938	8439	548
939	8447	539
940	8455	530
941	8464	521
942	8472	512
943	8481	503
944	8489	494
945	8498	485
946	8506	476
947	8515	467
948	8524	458
949	8533	449
950	8541	440
951	8551	431
952	8560	422
953	8569	413
954	8579	404
955	8587	395
956	8597	386
957	8605	377
958	8614	368
959	8622	359
960	8631	350
961	8640	341
962	8648	332
963	8657	323
964	8666	314
965	8675	305
966	8683	296
967	8693	287
968	8702	278
969	8711	269
970	8721	260
971	8730	251
972	8740	242
973	8748	233
974	8756	224
975	8765	215
976	8774	206
977	8783	197
978	8792	188
979	8800	179
980	8808	170
981	8817	161
982	8826	152
983	8835	143
984	8844	134
985	8852	125
986	8860	116
987	8869	107
988	8878	98
989	8886	89
990	8895	80
991	8904	71
992	8913	62
993	8922	53
994	8930	44
995	8939	35
996	8948	26
997	8957	17
998	8965	8
999	8974	0
